"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"04/01/2020","12802811","Hammocks Beach State Park","12802811","Hammocks Beach State Park","VISA","","","60.00","2000.1601.000300000","Default Overpayment Deposit","01/30/2020","285173025","",""
"04/01/2020","12802811","Hammocks Beach State Park","12802811","Hammocks Beach State Park","VISA","1605","009","(24.00)","3000.1601.434410003","campsite rentals","01/30/2020","285173025","",""
"04/01/2020","12802811","Hammocks Beach State Park","12802811","Hammocks Beach State Park","VISA","1605","009","(6.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/30/2020","285173025","",""
"04/01/2020","12802811","Hammocks Beach State Park","12802811","Hammocks Beach State Park","VISA","1606","010","(24.00)","3000.1601.434410003","campsite rentals","01/30/2020","285173025","",""
"04/01/2020","12802811","Hammocks Beach State Park","12802811","Hammocks Beach State Park","VISA","1606","010","(6.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/30/2020","285173025","",""
"04/01/2020","12802832","Jones Lake State Park","12802832","Jones Lake State Park","VISA","26001","Employee Hoodie","0.95","2000.1601.000211940","sales tax payable","04/01/2020","287568994","",""
"04/01/2020","12802832","Jones Lake State Park","12802832","Jones Lake State Park","VISA","26001","Employee Hoodie","14.05","3000.1601.434150004","PFR Revenues-Other","04/01/2020","287568994","",""
"04/01/2020","12802853","Lake Norman State Park","12802853","Lake Norman State Park","CASH","","","(0.01)","3000.1601.000200000","Default Overage/Shortage","04/03/2020","","287587635",""
"04/01/2020","12802853","Lake Norman State Park","12802853","Lake Norman State Park","CASH","8324","FIREWOOD","0.63","2000.1601.000211940","sales tax payable","04/03/2020","","287587635",""
"04/01/2020","12802853","Lake Norman State Park","12802853","Lake Norman State Park","CASH","8324","FIREWOOD","9.37","3000.1601.434150004","PFR Revenues-Other","04/03/2020","","287587635",""
