"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"05/04/2020","12802853","Lake Norman State Park","12802853","Lake Norman State Park","VISA","","","396.00","2000.1601.000300000","Default Overpayment Deposit","06/11/2019","269335057","",""
"05/04/2020","12802853","Lake Norman State Park","12802853","Lake Norman State Park","VISA","8690","SPECIAL ACTIVITY PERMIT","(396.00)","3000.1601.435200009","Special activity permits","06/11/2019","269335057","",""
"05/04/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","MC","","","25.00","2000.1601.000300000","Default Overpayment Deposit","01/02/2020","284025586","",""
"05/04/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","MC","2779","069","(22.00)","3000.1601.434410003","campsite rentals","01/02/2020","284025586","",""
"05/04/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","MC","2779","069","(3.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/02/2020","284025586","",""
"05/04/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","","","33.00","2000.1601.000300000","Default Overpayment Deposit","05/10/2019","266051237","",""
"05/04/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","4495","020","(30.00)","3000.1601.434410003","campsite rentals","05/10/2019","266051237","",""
"05/04/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","4496","021","(3.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","05/10/2019","266051237","",""
"05/04/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","5276","033","0.00","3000.1601.434410003","campsite rentals","06/19/2019","270287937","",""
"05/04/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","5276","033","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","06/19/2019","270287937","",""
"05/04/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","4481","006","0.00","3000.1601.434410003","campsite rentals","06/20/2019","270377869","",""
"05/04/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","4481","006","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","06/20/2019","270377869","",""
"05/04/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","","","594.00","2000.1601.000300000","Default Overpayment Deposit","08/05/2019","276473393","",""
"05/04/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","3664","H.P. Community Bldg.","(585.00)","3000.1601.434410007","Community Building rentals ","08/05/2019","276473393","",""
