"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"04/21/2020","12802902","Falls Lake State Recreation Area","12802902","Falls Lake State Recreation Area","MC","9200","Reimbursement-Other Utilities","67.15","3000.1601.000538322","Reimbursement-operating expenses","04/21/2020","287854298","",""
"04/21/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","MC","","","81.00","2000.1601.000300000","Default Overpayment Deposit","06/08/2019","269069904","",""
"04/21/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","MC","5074","024","(72.00)","3000.1601.434410003","campsite rentals","06/08/2019","269069904","",""
"04/21/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","MC","5074","024","(9.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","06/08/2019","269069904","",""
"04/22/2020","12802854","Hanging Rock State Park","12802854","Hanging Rock State Park","VISA","","","538.00","2000.1601.000300000","Default Overpayment Deposit","11/17/2019","282891523","",""
"04/22/2020","12802854","Hanging Rock State Park","12802854","Hanging Rock State Park","VISA","2162","Cabin 9","(517.00)","3000.1601.434410004","Cabin rentals","11/17/2019","282891523","",""
"04/22/2020","12802854","Hanging Rock State Park","12802854","Hanging Rock State Park","VISA","2162","Cabin 9","(21.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","11/17/2019","282891523","",""
"04/22/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","MC","","","104.00","2000.1601.000300000","Default Overpayment Deposit","02/16/2020","285855646","",""
"04/22/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","MC","2758","058","(46.00)","3000.1601.434410003","campsite rentals","02/16/2020","285855646","",""
"04/22/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","MC","2758","058","(6.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","02/16/2020","285855646","",""
"04/22/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","MC","2760","059","(46.00)","3000.1601.434410003","campsite rentals","02/16/2020","285855646","",""
"04/22/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","MC","2760","059","(6.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","02/16/2020","285855646","",""
"04/22/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","","","81.00","2000.1601.000300000","Default Overpayment Deposit","08/03/2019","276264743","",""
"04/22/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","5235","040","(72.00)","3000.1601.434410003","campsite rentals","08/03/2019","276264743","",""
"04/22/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","5235","040","(9.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","08/03/2019","276264743","",""
"04/22/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","","","66.00","2000.1601.000300000","Default Overpayment Deposit","04/06/2020","287613783","",""
"04/22/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","5244","029","(60.00)","3000.1601.434410003","campsite rentals","04/06/2020","287613783","",""
"04/22/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","5244","029","(6.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","04/06/2020","287613783","",""
"04/23/2020","12802811","Hammocks Beach State Park","12802811","Hammocks Beach State Park","VISA","","","60.00","2000.1601.000300000","Default Overpayment Deposit","02/20/2020","286023858","",""
"04/23/2020","12802811","Hammocks Beach State Park","12802811","Hammocks Beach State Park","VISA","1597","001","(48.00)","3000.1601.434410003","campsite rentals","02/20/2020","286023858","",""
"04/23/2020","12802811","Hammocks Beach State Park","12802811","Hammocks Beach State Park","VISA","1597","001","(12.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","02/20/2020","286023858","",""
"04/23/2020","12802820","Chimney Rock State Park","12802820","Chimney Rock State Park","PER CHQ","86353","Special Activity Permit","140.00","3000.1601.435200009","Special activity permits","04/23/2020","","287870788",""
"04/23/2020","12802854","Hanging Rock State Park","12802854","Hanging Rock State Park","VISA","5906","Group Camp 5","0.00","3000.1601.434410003","campsite rentals","01/04/2020","284106560","",""
"04/23/2020","12802854","Hanging Rock State Park","12802854","Hanging Rock State Park","VISA","5906","Group Camp 5","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/04/2020","284106560","",""
"04/23/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","VISA","","","220.00","2000.1601.000300000","Default Overpayment Deposit","10/29/2019","282246221","",""
"04/23/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","VISA","2360","Cabin 4","(214.00)","3000.1601.434410004","Cabin rentals","10/29/2019","282246221","",""
"04/23/2020","12802856","Morrow Mountain State Park","12802856","Morrow Mountain State Park","VISA","2360","Cabin 4","(6.00)","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","10/29/2019","282246221","",""
"04/23/2020","12802860","Pilot Mountain State Park","12802860","Pilot Mountain State Park","VISA","","","70.00","2000.1601.000300000","Default Overpayment Deposit","03/10/2020","286871010","",""
"04/23/2020","12802860","Pilot Mountain State Park","12802860","Pilot Mountain State Park","VISA","133559","SAP NON CORPORATE","(70.00)","3000.1601.435200009","Special activity permits","03/10/2020","286871010","",""
"04/23/2020","12802865","Gorges State Park","12802865","Gorges State Park","CASH","1427","001","0.00","3000.1601.434410003","campsite rentals","03/17/2020","","287170797",""
"04/23/2020","12802865","Gorges State Park","12802865","Gorges State Park","CASH","1427","001","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","03/17/2020","","287170797",""
"04/23/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","PER CHQ","4382","S.P. Shelter 1 ","0.00","3000.1601.434410008","Picnic Shelter rentals","03/10/2020","","286831817",""
"04/23/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","PER CHQ","4382","S.P. Shelter 1 ","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","03/10/2020","","286831817",""
"04/23/2020","12802904","Kerr Lake State Recreation Area","12802904","Kerr Lake State Recreation Area","VISA","","","189.00","2000.1601.000300000","Default Overpayment Deposit","10/17/2018","256426933","",""
