"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"12/19/2018","550001","NC Division of Parks and Recreation","12802806","Carolina Beach State Park","NORTH CAROLINA GIFT CARD","","","(50.00)","2000.1601.000300000","Default Overpayment Deposit","","","",""
"12/19/2018","550001","NC Division of Parks and Recreation","12802806","Carolina Beach State Park","NORTH CAROLINA GIFT CARD","7050","NORTH CAROLINA GIFT CARD","50.00","2000.1601.000218110","Gift Card","","","","Purchase Gift Card"
"12/19/2018","550001","NC Division of Parks and Recreation","12802806","Carolina Beach State Park","VISA","","","50.00","2000.1601.000300000","Default Overpayment Deposit","12/20/2018","258297997","",""
"12/19/2018","550001","NC Division of Parks and Recreation","12802806","Carolina Beach State Park","VISA","7050","NORTH CAROLINA GIFT CARD","0.00","3000.1601.000218110","Gift Card - Revenue","12/20/2018","258297997","",""
"12/19/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1024","003","(3.00)","3000.1601.434410003","campsite rentals","12/17/2018","","258217333",""
"12/19/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1024","003","3.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","12/17/2018","","258217333",""
"12/19/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1044","023","0.00","3000.1601.434410003","campsite rentals","12/19/2018","","258256831",""
"12/19/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1024","003","12.00","3000.1601.434410003","campsite rentals","12/20/2018","","258275062",""
"12/19/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1044","023","18.00","3000.1601.434410003","campsite rentals","12/20/2018","","258275062",""
"12/19/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8190","CABE FLYTRAP DECAL","0.13","2000.1601.000211940","sales tax payable","12/20/2018","","258275062",""
"12/19/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8190","CABE FLYTRAP DECAL","1.87","3000.1601.434150004","PFR Revenues-Other","12/20/2018","","258275062",""
