"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"02/01/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1051","030","(6.00)","3000.1601.434410003","campsite rentals","01/31/2020","","285178293",""
"02/01/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1051","030","6.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/31/2020","","285178293",""
"02/01/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1051","030","44.00","3000.1601.434410003","campsite rentals","02/03/2020","","285284608",""
"02/01/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8136","BEVERAGES-COFFEE CUP - 8OZ.","0.03","2000.1601.000211940","sales tax payable","02/03/2020","","285284608",""
"02/01/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8136","BEVERAGES-COFFEE CUP - 8OZ.","0.47","3000.1601.434150004","PFR Revenues-Other","02/03/2020","","285284608",""
"02/01/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8311","DUMP FEE-CAMPER","20.00","3000.1601.000434190","Other sales & service","02/03/2020","","285284608",""
"02/01/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8324","FIREWOOD","1.38","2000.1601.000211940","sales tax payable","02/03/2020","","285284608",""
"02/01/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8324","FIREWOOD","19.62","3000.1601.434150004","PFR Revenues-Other","02/03/2020","","285284608",""
"02/01/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8379","FOOD-ICE","0.26","2000.1601.000211940","sales tax payable","02/03/2020","","285284608",""
"02/01/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8379","FOOD-ICE","3.74","3000.1601.434150004","PFR Revenues-Other","02/03/2020","","285284608",""
