"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1055","034","0.00","3000.1601.434410003","campsite rentals","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8190","CABE FLYTRAP DECAL","0.23","2000.1601.000211940","sales tax payable","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8190","CABE FLYTRAP DECAL","3.27","3000.1601.434150004","PFR Revenues-Other","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8191","CABE FLYTRAP MAGNET","0.21","2000.1601.000211940","sales tax payable","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8191","CABE FLYTRAP MAGNET","3.04","3000.1601.434150004","PFR Revenues-Other","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8324","FIREWOOD","0.92","2000.1601.000211940","sales tax payable","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8324","FIREWOOD","13.08","3000.1601.434150004","PFR Revenues-Other","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8379","FOOD-ICE","0.20","2000.1601.000211940","sales tax payable","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8379","FOOD-ICE","2.80","3000.1601.434150004","PFR Revenues-Other","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8382","FOOD-ICE CREAM - CHIPS GALORE COOKIE SANDWICH","0.26","2000.1601.000211940","sales tax payable","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8382","FOOD-ICE CREAM - CHIPS GALORE COOKIE SANDWICH","3.74","3000.1601.434150004","PFR Revenues-Other","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8388","FOOD-ICE CREAM, BIG VANILLA SANDWICH, BLUE BUNNY","0.13","2000.1601.000211940","sales tax payable","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8388","FOOD-ICE CREAM, BIG VANILLA SANDWICH, BLUE BUNNY","1.87","3000.1601.434150004","PFR Revenues-Other","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8390","FOOD-ICE CREAM, CCOKIES AND CREAM BAR, BLUE BUNNY","0.13","2000.1601.000211940","sales tax payable","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8390","FOOD-ICE CREAM, CCOKIES AND CREAM BAR, BLUE BUNNY","1.87","3000.1601.434150004","PFR Revenues-Other","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","9700","SNICKERS ICE CREAM BAR","0.13","2000.1601.000211940","sales tax payable","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","9700","SNICKERS ICE CREAM BAR","1.87","3000.1601.434150004","PFR Revenues-Other","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","13350","FOOD- ICE CREAM- ORANGE DREAM BAR","0.13","2000.1601.000211940","sales tax payable","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","13350","FOOD- ICE CREAM- ORANGE DREAM BAR","1.87","3000.1601.434150004","PFR Revenues-Other","03/21/2022","","352131257",""
"03/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","124552","ASSORTED STRAW HATS","0.65","2000.1601.000211940","sales tax payable","03/21/2022","","352131257",""
