"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","","","295.35","3000.1601.000200000","Default Overage/Shortage","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1051","030","(3.00)","3000.1601.434410003","campsite rentals","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1051","030","3.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8136","BEVERAGES-COFFEE CUP - 8OZ.","0.03","2000.1601.000211940","sales tax payable","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8136","BEVERAGES-COFFEE CUP - 8OZ.","0.47","3000.1601.434150004","PFR Revenues-Other","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99011","BEVERAGES - COCA COLA","0.10","2000.1601.000211940","sales tax payable","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99011","BEVERAGES - COCA COLA","1.40","3000.1601.434150004","PFR Revenues-Other","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99012","BEVERAGES - DIET COKE","0.10","2000.1601.000211940","sales tax payable","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99012","BEVERAGES - DIET COKE","1.40","3000.1601.434150004","PFR Revenues-Other","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99952","BEVERAGES - POWERADE FRUIT PUNCH","0.11","2000.1601.000211940","sales tax payable","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99952","BEVERAGES - POWERADE FRUIT PUNCH","1.54","3000.1601.434150004","PFR Revenues-Other","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","PER CHQ","1040","019","19.00","3000.1601.434410003","campsite rentals","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","PER CHQ","1040","019","3.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","PER CHQ","80510","024","294.00","3000.1601.434410001","Dock rental fees","02/20/2020","","286007644",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","81452","004","0.00","3000.1601.434410003","campsite rentals","01/01/2020","283974308","",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","81452","004","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/01/2020","283974308","",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","81752","Longleaf Cabin - 39","0.00","3000.1601.434410004","Cabin rentals","01/13/2020","284468924","",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","81752","Longleaf Cabin - 39","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/13/2020","284468924","",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","","","58.00","2000.1601.000300000","Default Overpayment Deposit","01/16/2020","284598160","",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","2107","Auditorium","(61.00)","3000.1601.434410006","Auditorium/Classroom rentals","01/16/2020","284598160","",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","2107","Auditorium","3.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/16/2020","284598160","",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","81453","012","0.00","3000.1601.434410003","campsite rentals","02/08/2020","285524082","",""
"02/19/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","81453","012","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","02/08/2020","285524082","",""
