"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","","","38.26","3000.1601.000200000","Default Overage/Shortage","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8295","DISPOSABLE GAS LIGHTER (COG)","0.25","2000.1601.000211940","sales tax payable","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8295","DISPOSABLE GAS LIGHTER (COG)","3.50","3000.1601.434150004","PFR Revenues-Other","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8311","DUMP FEE-CAMPER","20.00","3000.1601.000434190","Other sales & service","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8324","FIREWOOD","10.55","2000.1601.000211940","sales tax payable","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8324","FIREWOOD","150.42","3000.1601.434150004","PFR Revenues-Other","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8379","FOOD-ICE","0.79","2000.1601.000211940","sales tax payable","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8379","FOOD-ICE","11.20","3000.1601.434150004","PFR Revenues-Other","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8514","LAUNDRY FEES","10.00","3000.1601.000434190","Other sales & service","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8756","TIDE LAUNDRY DETERGENT (SINGLE USE)","0.05","2000.1601.000211940","sales tax payable","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8756","TIDE LAUNDRY DETERGENT (SINGLE USE)","0.70","3000.1601.434150004","PFR Revenues-Other","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","54152","NAIL TENT PEGS 4PK, COGHLANS","0.72","2000.1601.000211940","sales tax payable","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","54152","NAIL TENT PEGS 4PK, COGHLANS","10.28","3000.1601.434150004","PFR Revenues-Other","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","78002","VC Name Drop Magnet","0.39","2000.1601.000211940","sales tax payable","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","78002","VC Name Drop Magnet","5.60","3000.1601.434150004","PFR Revenues-Other","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","85452","VC Stuffed Animals","0.92","2000.1601.000211940","sales tax payable","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","85452","VC Stuffed Animals","13.08","3000.1601.434150004","PFR Revenues-Other","11/01/2021","","343531680",""
"10/29/2021","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99011","BEVERAGES - COCA COLA","0.20","2000.1601.000211940","sales tax payable","11/01/2021","","343531680",""
