"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1057","036","(6.00)","3000.1601.434410003","campsite rentals","11/19/2018","","257654585",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1057","036","6.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","11/19/2018","","257654585",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1048","027","32.00","3000.1601.434410003","campsite rentals","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1048","027","6.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","1057","036","38.00","3000.1601.434410003","campsite rentals","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8136","BEVERAGES-COFFEE CUP - 8OZ.","0.03","2000.1601.000211940","sales tax payable","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8136","BEVERAGES-COFFEE CUP - 8OZ.","0.47","3000.1601.434150004","PFR Revenues-Other","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8324","FIREWOOD","0.92","2000.1601.000211940","sales tax payable","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8324","FIREWOOD","13.08","3000.1601.434150004","PFR Revenues-Other","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8379","FOOD-ICE","0.13","2000.1601.000211940","sales tax payable","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8379","FOOD-ICE","1.87","3000.1601.434150004","PFR Revenues-Other","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8406","FOOD-PEANUTS, 1.75 OZ, PLANTERS","0.15","2000.1601.000211940","sales tax payable","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8406","FOOD-PEANUTS, 1.75 OZ, PLANTERS","2.13","3000.1601.434150004","PFR Revenues-Other","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99011","BEVERAGES - COCA COLA","0.10","2000.1601.000211940","sales tax payable","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99011","BEVERAGES - COCA COLA","1.40","3000.1601.434150004","PFR Revenues-Other","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99012","BEVERAGES - DIET COKE","0.10","2000.1601.000211940","sales tax payable","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99012","BEVERAGES - DIET COKE","1.40","3000.1601.434150004","PFR Revenues-Other","11/26/2018","","257826554",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","81453","012","0.00","3000.1601.434410003","campsite rentals","02/04/2018","234504994","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","81453","012","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","02/04/2018","234504994","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1049","028","0.00","3000.1601.434410003","campsite rentals","09/24/2018","255081405","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1049","028","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","09/24/2018","255081405","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1136","058","0.00","3000.1601.434410003","campsite rentals","10/31/2018","257026750","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1136","058","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","10/31/2018","257026750","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1121","043","0.00","3000.1601.434410003","campsite rentals","11/18/2018","257654247","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1121","043","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","11/18/2018","257654247","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1135","057","0.00","3000.1601.434410003","campsite rentals","11/19/2018","257682279","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1135","057","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","11/19/2018","257682279","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","8523","LIFEVEST, ADULT, TYPE II, AQUAGEAR","0.98","2000.1601.000211940","sales tax payable","11/25/2018","257827146","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","8523","LIFEVEST, ADULT, TYPE II, AQUAGEAR","14.02","3000.1601.434150004","PFR Revenues-Other","11/25/2018","257827146","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","81453","012","21.00","3000.1601.434410003","campsite rentals","11/25/2018","257827146","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","81453","012","3.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","11/25/2018","257827146","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","8300","DOCKAGE FEES-BOAT LAUNCH","6.00","3000.1601.434410001","Dock rental fees","11/25/2018","257827146","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","8324","FIREWOOD","2.75","2000.1601.000211940","sales tax payable","11/25/2018","257827146","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","8324","FIREWOOD","39.24","3000.1601.434150004","PFR Revenues-Other","11/25/2018","257827146","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","8382","FOOD-ICE CREAM - CHIPS GALORE COOKIE SANDWICH","0.11","2000.1601.000211940","sales tax payable","11/25/2018","257827146","",""
"11/24/2018","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","8382","FOOD-ICE CREAM - CHIPS GALORE COOKIE SANDWICH","1.64","3000.1601.434150004","PFR Revenues-Other","11/25/2018","257827146","",""
