"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"01/16/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1124","046","0.00","3000.1601.434410003","campsite rentals","05/08/2021","322127110","",""
"01/16/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1124","046","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","05/08/2021","322127110","",""
"01/16/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","1042","021","0.00","3000.1601.434410003","campsite rentals","01/12/2022","347289040","",""
"01/16/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","1042","021","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/12/2022","347289040","",""
"01/16/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","1039","018","0.00","3000.1601.434410003","campsite rentals","01/14/2022","347449219","",""
"01/16/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","MC","1039","018","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/14/2022","347449219","",""
"01/16/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1027","006","17.00","3000.1601.434410003","campsite rentals","01/16/2022","347579200","",""
"01/16/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","1027","006","3.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/16/2022","347579200","",""
"01/16/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","157463","Fire Starter Block","0.20","2000.1601.000211940","sales tax payable","01/16/2022","347579200","",""
"01/16/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","VISA","157463","Fire Starter Block","2.79","3000.1601.434150004","PFR Revenues-Other","01/16/2022","347579200","",""
"01/16/2022","12802808","Fort Fisher State Recreation Area","12802808","Fort Fisher State Recreation Area","VISA","85853","WEEKEND VEHICLE PERMIT FEE","30.00","3000.1601.435700006","Vehicle access fee","01/16/2022","347579200","",""
"01/16/2022","12802808","Fort Fisher State Recreation Area","12802808","Fort Fisher State Recreation Area","VISA","164155","A FOFI 2022 Annual Pass","150.00","3000.1601.435700006","Vehicle access fee","01/16/2022","347579200","",""
"01/16/2022","12802810","Goose Creek State Park","12802810","Goose Creek State Park","VISA","46502","013","0.00","3000.1601.434410003","campsite rentals","01/15/2022","347509702","",""
"01/16/2022","12802810","Goose Creek State Park","12802810","Goose Creek State Park","VISA","46502","013","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/15/2022","347509702","",""
"01/16/2022","12802813","Merchants Millpond State Park","12802813","Merchants Millpond State Park","CASH","8324","FIREWOOD","1.77","2000.1601.000211940","sales tax payable","01/17/2022","","347595914",""
"01/16/2022","12802813","Merchants Millpond State Park","12802813","Merchants Millpond State Park","CASH","8324","FIREWOOD","26.24","3000.1601.434150004","PFR Revenues-Other","01/17/2022","","347595914",""
"01/16/2022","12802813","Merchants Millpond State Park","12802813","Merchants Millpond State Park","MC","1405","004","0.00","3000.1601.434410003","campsite rentals","01/07/2022","346897387","",""
"01/16/2022","12802813","Merchants Millpond State Park","12802813","Merchants Millpond State Park","MC","1405","004","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/07/2022","346897387","",""
"01/16/2022","12802813","Merchants Millpond State Park","12802813","Merchants Millpond State Park","MC","1406","005","0.00","3000.1601.434410003","campsite rentals","01/07/2022","346897387","",""
"01/16/2022","12802813","Merchants Millpond State Park","12802813","Merchants Millpond State Park","MC","1406","005","0.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/07/2022","346897387","",""
"01/16/2022","12802834","Medoc Mountain State Park","12802834","Medoc Mountain State Park","MC","1347","005","22.00","3000.1601.434410003","campsite rentals","01/16/2022","347579200","",""
"01/16/2022","12802834","Medoc Mountain State Park","12802834","Medoc Mountain State Park","MC","1347","005","3.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/16/2022","347579200","",""
"01/16/2022","12802902","Falls Lake State Recreation Area","12802902","Falls Lake State Recreation Area","CASH","5761","097","49.00","3000.1601.434410003","campsite rentals","01/19/2022","","347711211",""
"01/16/2022","12802902","Falls Lake State Recreation Area","12802902","Falls Lake State Recreation Area","CASH","5761","097","6.00","3000.1601.435900001","CRS Vendor Fees (Transaction Fees)","01/19/2022","","347711211",""
"01/16/2022","12802902","Falls Lake State Recreation Area","12802902","Falls Lake State Recreation Area","CASH","8324","FIREWOOD","0.34","2000.1601.000211940","sales tax payable","01/19/2022","","347711211",""
"01/16/2022","12802902","Falls Lake State Recreation Area","12802902","Falls Lake State Recreation Area","CASH","8324","FIREWOOD","4.66","3000.1601.434150004","PFR Revenues-Other","01/19/2022","","347711211",""
"01/16/2022","12802902","Falls Lake State Recreation Area","12802902","Falls Lake State Recreation Area","MC","8324","FIREWOOD","1.23","2000.1601.000211940","sales tax payable","01/16/2022","347579200","",""
"01/16/2022","12802902","Falls Lake State Recreation Area","12802902","Falls Lake State Recreation Area","MC","8324","FIREWOOD","16.77","3000.1601.434150004","PFR Revenues-Other","01/16/2022","347579200","",""
"01/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","","","3.00","3000.1601.000200000","Default Overage/Shortage","01/18/2022","","347646459",""
"01/17/2022","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8300","DOCKAGE FEES-BOAT LAUNCH","7.00","3000.1601.434410001","Dock rental fees","01/18/2022","","347646459",""
